ID;brand_id;genre_id;S_M_id;name;preis;rabatt;endpreis;background;discription;picture;fsk_id;platform_id
1;4;4;1;Simcity: French City Set;30;33;20;NULL;Give your city a sleek, modern French look! Put up the legendary Eiffel Tower. Follow how the unique look and unmistakable flair of France unfold. Bring unique French shops and houses to life that sprout up around the Eiffel Tower. The French city set includes exclusive set pieces such as the world-famous Eiffel Tower and a police station to protect your Sims.;http://localhost/dhbw/ludomo/assets/images/spiel-origin-simcity-french-city-set-cover.jpg;2;1
2;3;6;2;GTFO (+Early Access);40;44;22.59;http://localhost/dhbw/ludomo/assets/images;About this game When the guard, your mysterious prison guard, gives you a new work assignment, your prisoner team comes to the "rundown". This includes a series of expeditions that take you deeper and deeper into the run-down research facility, the so-called complex. You go down, level by level, looking for tools and resources. They will help you survive in a dangerous network of tunnels, with gruesome creatures lurking around every corner. Complete all expeditions to complete the work order and complete the rundown.;http://localhost/dhbw/ludomo/assets/images/gtfo-early-access-pc-spiel-steam-cover.jpg;5;2
3;3;4;1;Planet Zoo: Europe Pack;10;33;6.7;http://localhost/dhbw/ludomo/assets/images;About this product With the Europe package for Planet Zoo you can enjoy the beauty of Europe! The new animals (Alpine ibex, Eurasian lynx, fallow deer, badger and fire salamander) are great representatives of the European fauna and will amaze your zoo visitors. Expand your zoo with 250 scenery objects, all of which are real eye-catchers - and more than ever before in a Planet Zoo DLC! You can also test the skills of your zookeepers in an exciting new scenario at the foot of the majestic Alps. Delight your guests and bring the magic of Europe back home.;http://localhost/dhbw/ludomo/assets/images/planet-zoo-europe-pack-pc-spiel-steam-cover.jpg;1;3
4;4;5;2;FIFA 22;60;35;39.29;http://localhost/dhbw/ludomo/assets/images;About the game Ultimate Team is the games biggest mode so far, which exceeded expectations in its predecessor, FIFA 21, and is even bigger and better this time. Here you can put together your dream team from the best players from all over the world and see how well they play together. Trades are important in this game as you compete to build the best team with the greatest talent out there so watch out for young and aspiring players and hopefully negotiate with the big guys. Fun fact: you will do better on the trades if you have played the game for a long time (i.e. previous versions of the game), which is really good news for long-term fans of the franchise. Depending on the specific players and trades, some early trades are available, but not all, so you need to decide when and how to spend your budget.;http://localhost/dhbw/ludomo/assets/images/fifa-22-pc-spiel-origin-cover.jpg;0;3
5;6;4;2;Animal Crossing: New Horizons - Happy Home Paradise Switch (Europe);25;20;19.99;http://localhost/dhbw/ludomo/assets/images;Let your creativity run wild and help many of your favorite islanders create their ideal vacation home in Animal Crossing: New Horizons - Happy Home Paradise Make vacation dreams come true As part of Karlottas team in the holiday home agency, it is your job to make vacation dreams come true. Every customer has their own idea of the perfect holiday home. Make your wishes a reality!;http://localhost/dhbw/ludomo/assets/images/animal-crossing-new-horizons-happy-home-paradise-switch-switch-spiel-nintendo-eshop-europe-cover.jpg;1;4
6;3;4;1;Farming Simulator 22;40;32;27.29;http://localhost/dhbw/ludomo/assets/images;Farming Simulator 22 for PC is, as the name suggests, a farming simulation game in a series that includes around fourteen editions, distributed on PC and mobile phone. The player - thats you - is a farmer, and your goal is to maintain and grow the farm in order to make it a success.;http://localhost/dhbw/ludomo/assets/images/farming-simulator-22-pc-mac-spiel-steam-cover.jpg;1;1
7;3;4;1;Football Manager 2022 (Europe);55;42;31.99;http://localhost/dhbw/ludomo/assets/images;About the game First, some interesting points: The game is so realistic that it scours the world for players from every country and skill level, from club to national team, that it has even alerted the national selection to the fact that it has a pair of brothers for the country on an international level can play - otherwise they would not have been noticed because they live somewhere else. After the selection, one of the brothers became the top scorer in the country!;http://localhost/dhbw/ludomo/assets/images/football-manager-2022-pc-mac-spiel-steam-europe-cover.jpg;1;1
8;3;3;2;Age of Empires IV;60;37;37.79;http://localhost/dhbw/ludomo/assets/images;Age of Empires IV for PC is a real-time strategy game, the fourth in the Age of Empires franchise and a whopping fifteen years after the third version. This version is set in the Middle Ages and has a lot to do with the Norman conquest. If you were a huge fan of the third game back then, you will be able to carry over some of the game mechanics from that game to this new and improved platform.;http://localhost/dhbw/ludomo/assets/images/age-of-empires-iv-pc-spiel-steam-cover.jpg;2;2
9;3;2;2;Icarus;25;12;21.89;http://localhost/dhbw/ludomo/assets/images;About this game For our German players Unfortunately, some important information about the game, such as mission descriptions, is only displayed in English. We apologize for the confusion and are working on an update to resolve this issue as soon as possible. This is more of a programming bug than a translation bug, so we hope to fix it quickly. We aim to translate Icarus into many languages so that people from all over the world can enjoy the game. Thank you for your patience.;http://localhost/dhbw/ludomo/assets/images/icarus-pc-spiel-steam-cover.jpg;3;2
10;2;1;2;Forza Horizon 5 (PC / Xbox ONE / Xbox Series X|S);70;36;44.49;http://localhost/dhbw/ludomo/assets/images;About the game In this game you can explore a really huge open world map, up to fifty percent larger than the not inconsiderable map of Forza Horizon 4. Speed through the caldera of a volcano in a multitude of vehicles, exploring jungles and rainforests for theirs hidden ruined cities, stir up sand as you hiss across beaches, and speed past waterfalls, snow-capped mountains, and large, lifelike cities like Guanajuato, which has a network of secret tunnels to explore!;http://localhost/dhbw/ludomo/assets/images/forza-horizon-5-pc-xbox-one-xbox-series-xs-pc-xbox-one-xbox-serie-x-s-spiel-microsoft-store-cover.jpg;1;3
11;3;6;2;Back 4 Blood (Europe);60;55;26.79;http://localhost/dhbw/ludomo/assets/images;Back 4 Blood for PC is a cooperative zombie shooter with a new card-based perk system. Its the unofficial sequel to Left 4 Dead as it comes from the same developers who indulged in very similar gameplay.;http://localhost/dhbw/ludomo/assets/images/back-4-blood-pc-spiel-steam-europe-cover.jpg;5;1
12;3;1;2;Destiny 2: Bungie 30th Anniversary Pack;25;32;16.99;http://localhost/dhbw/ludomo/assets/images;About this product Celebrate Bungies 30th birthday with a new dungeon, the exotic Gjallarhorn rocket launcher, the Dorn armor set and an arsenal of weapons, equipment and cosmetics inspired by Bungies past.;http://localhost/dhbw/ludomo/assets/images/destiny-2-bungie-30th-anniversary-pack-anniversary-collection-pc-spiel-steam-cover.jpg;4;1
13;3;1;2;Tribes of Midgard - Deluxe Edition;30;78;6.5;http://localhost/dhbw/ludomo/assets/images;Items included in this package:Tribes of Midgard Tribes of Midgard - Deluxe Content About this game Season 2: Snake Saga is now available and will transport you and your tribe into dangerous unknown waters! Drive across the as yet unexplored sea to discover new islands and fight against wild islanders. But be careful: a new saga boss is waiting for you when you can unlock the secrets of his cave. Equip yourself with powerful new runes, pick up new weapons and armor, and use your newly acquired swimming skills to complete these brand new challenges and receive new seasonal rewards!;http://localhost/dhbw/ludomo/assets/images/tribes-of-midgard-deluxe-edition-deluxe-edition-pc-spiel-steam-cover.jpg;3;1
14;3;1;1;God of War;50;32;33.99;http://localhost/dhbw/ludomo/assets/images;About this game Enter the world of the north His campaign of revenge against the gods of Olympus goes back years. In the meantime, Kratos lives as a person in the realm of the Nordic gods and monsters. In this merciless, relentless world, he must fight to survive ... and teach his son to do so too.;http://localhost/dhbw/ludomo/assets/images/god-of-war-pc-spiel-steam-cover.jpg;5;1
